grade,sub_grade_num,short_emp,emp_length_num,home_ownership,dti,purpose,payment_inc_ratio,delinq_2yrs,delinq_2yrs_zero,inq_last_6mths,last_delinq_none,last_major_derog_none,open_acc,pub_rec,pub_rec_zero,revol_util,bad_loans
G,0.5239914678100906,0,2,MORTGAGE,14.2131289828054,credit_card,12.707636819270869,0,1,3,1,1,7,0,1,65.90899816324938,0
A,0.5996006394059794,0,4,OWN,29.926009422954284,home_improvement,7.275746760157711,1,1,4,1,0,13,0,1,32.62381124880562,0
B,0.7082489477528008,0,9,MORTGAGE,14.942844806911374,home_improvement,1.6485347847570693,0,1,5,1,1,8,0,1,68.17866673656411,0
A,0.9024535392055206,0,4,MORTGAGE,26.08831122737021,car,1.8053276902036417,0,1,3,1,1,6,0,1,26.329436362590503,0
A,0.7194768931764646,0,0,MORTGAGE,18.0306470876931,car,7.456726810026419,0,1,1,1,1,9,0,0,20.84739215561452,0
D,0.2835559025954569,0,1,RENT,23.4625502284944,small_business,9.528321030581912,2,1,2,1,1,8,0,1,29.100606587320044,1
D,0.1067410861606902,1,8,RENT,23.370987798722663,credit_card,2.2867260283433875,0,1,1,1,1,7,0,1,86.23464858358639,0
A,0.5940258982213122,0,0,RENT,32.78925166873343,credit_card,7.112248485007442,0,1,3,0,1,18,0,1,51.22772047166937,0
C,0.9581135288993192,0,9,OWN,19.503791716120784,car,8.446831929997057,0,0,1,1,1,11,1,1,76.81020263358815,0
F,0.1454724853177996,0,7,RENT,38.38582552616233,home_improvement,13.970168954069514,1,1,2,1,1,5,0,1,62.338210206369794,1
C,0.3804188402428516,1,2,MORTGAGE,24.80069841693121,small_business,4.455156624211915,1,1,5,0,1,7,0,1,49.30447068232636,1
C,0.7385324872856565,0,6,RENT,31.396283847796,debt_consolidation,6.605571019577143,0,0,1,1,1,8,0,1,43.899064151955024,0
B,0.3042045181350037,0,0,RENT,15.438203000758271,car,6.541362426884117,0,0,0,1,1,4,0,1,72.06393279513051,0
F,0.4853488375074,1,6,MORTGAGE,28.43239881261624,debt_consolidation,1.3171340420122997,1,1,1,1,1,8,0,1,30.54325381595592,1
C,0.463958656819093,0,0,MORTGAGE,38.788204467722416,medical,9.658133693418614,1,1,1,1,0,1,0,0,73.7048098899591,1
E,0.9835200727362025,1,5,OWN,7.445752026958912,debt_consolidation,2.000957008021768,0,1,1,1,1,7,0,0,29.91621207339273,0
B,0.1108728114775757,1,6,MORTGAGE,11.232154734474,home_improvement,4.229207265800798,0,0,1,0,1,4,0,1,55.250557236574295,0
C,0.8621181278554603,0,5,RENT,24.259075074928656,medical,9.789784340257771,0,1,0,1,1,9,0,1,10.64674543761902,0
C,0.7024889709892246,0,4,MORTGAGE,34.1377464850055,debt_consolidation,12.715032307654564,1,0,1,1,1,8,0,1,55.183578985063086,1
D,0.3531132640409657,0,3,MORTGAGE,36.65113813509012,home_improvement,3.3932960587632266,0,0,6,1,1,8,1,1,39.57228680926433,1
C,0.1721442941757022,1,5,MORTGAGE,8.713809027010091,debt_consolidation,9.827855853352396,0,1,1,1,1,7,1,1,0.0015123699936281,0
C,0.8827478305638616,0,5,RENT,29.660275851445952,medical,10.746585327259377,0,1,3,0,1,8,0,1,88.0151521549383,0
B,0.5991236164612287,0,7,RENT,27.57785640261901,debt_consolidation,11.67334099841222,0,1,3,1,1,9,1,0,40.44156514568802,0
E,0.1654622505701202,0,8,MORTGAGE,21.31721121994437,credit_card,11.976358911117996,0,1,3,1,1,16,0,1,67.39385352879746,0
D,0.8196549503303846,1,8,RENT,6.675126234501771,home_improvement,4.770002422820038,0,0,0,1,1,6,1,0,4.245424720749469,0
E,0.5464890728677905,0,6,OWN,17.71245808878973,small_business,10.034713637959708,3,1,1,1,1,7,1,1,22.434015205056788,1
C,0.2119816917708877,0,6,MORTGAGE,30.210770539259624,credit_card,14.539041337693146,1,1,3,1,1,11,0,1,65.92000857775193,1
G,0.4735301628464783,0,6,RENT,10.024399665286664,car,13.625209453576824,0,1,3,1,1,3,1,1,45.33367214824059,0
B,0.0657601424554409,0,7,MORTGAGE,18.311315350915606,small_business,10.911807546350923,1,1,1,0,1,12,0,1,90.06699080184852,1
D,0.7295794635483764,0,5,OWN,7.009678240419494,credit_card,8.00896906951049,0,1,1,1,1,11,0,1,86.57171852066323,0
D,0.1425130487550081,0,3,RENT,19.699259798427697,small_business,3.457454923015232,0,0,3,1,1,10,0,1,22.844234750247374,0
C,0.1353624617602578,0,9,OWN,24.696082754933855,car,12.730026167939762,0,1,0,1,0,8,0,1,54.75304428019074,0
D,0.373473501332372,0,7,MORTGAGE,23.91407957247097,medical,13.361906322721488,1,1,7,1,1,10,0,1,37.35045768203039,0
D,0.6359723639707734,1,3,RENT,6.933032641406623,debt_consolidation,9.909467137401002,1,0,1,1,1,6,0,0,18.45125902660838,0
F,0.7559862664789311,1,6,MORTGAGE,20.1015103631362,medical,12.864092235534,1,0,2,1,1,6,0,1,54.64858616532912,1
E,0.6164605273915522,0,7,MORTGAGE,19.773421864077605,home_improvement,10.506412397263114,0,1,4,1,1,15,0,1,29.884926127249063,0
B,0.6952023867737738,0,9,RENT,11.567157774080124,medical,1.871839065032005,0,1,3,0,1,11,0,0,53.68911396064715,0
F,0.3184833689815693,1,1,RENT,11.157316488745089,debt_consolidation,6.834340656145873,1,1,0,1,0,4,0,1,21.88203075140811,1
D,0.8600064413298301,0,0,RENT,18.34360407937513,credit_card,8.921078379426229,0,0,0,1,1,8,0,1,9.898084387213167,0
B,0.4016451772120418,1,8,OWN,35.535695345518654,car,6.784820405329421,0,1,2,1,1,5,0,1,64.75399080291398,0
E,0.6775236245685783,0,3,RENT,16.750342850785177,small_business,12.29115112199473,1,1,7,0,1,10,0,1,99.93566302838936,1
C,0.2969058662593891,0,4,MORTGAGE,10.862735216056477,debt_consolidation,3.814525305572573,0,1,3,1,1,12,0,1,1.3101646156374105,0
A,0.197042465763889,1,6,RENT,17.22923166805652,small_business,4.804005221511513,1,1,4,0,0,10,0,1,42.613583320091664,0
D,0.8842447001310364,0,3,MORTGAGE,32.30568614127088,small_business,14.18336324856218,0,0,1,1,1,2,0,1,0.1975450316938021,0
B,0.4535216778555884,0,1,RENT,14.565581721906204,home_improvement,10.291633508635236,0,1,0,1,1,6,1,1,88.73627443968985,0
F,0.0839516614997838,1,8,MORTGAGE,6.244646069323321,car,3.694597651136084,1,1,1,1,1,10,0,1,36.87930763143433,1
C,0.2183057979360807,0,4,OWN,17.560638155390414,home_improvement,14.235119393465435,0,1,2,1,0,7,1,1,65.96920635824928,0
C,0.0220161156671185,0,6,MORTGAGE,37.33593168739789,car,10.914312995106796,0,0,4,1,1,9,1,1,18.54410440940756,0
C,0.1509725019475999,1,6,RENT,14.821003913534108,medical,9.382012544866951,0,1,1,1,1,10,0,1,96.20268616748378,0
C,0.1978230206779651,0,2,OWN,7.002761679012969,credit_card,10.557628382013174,0,1,1,1,1,4,1,1,54.24442742277355,0
D,0.5216437688033857,0,4,OWN,28.914745446013097,medical,8.547280565013835,0,1,2,1,1,9,0,0,69.34997917789141,0
F,0.0886329747495807,1,9,MORTGAGE,13.251538295841453,car,4.660127970269315,0,1,1,0,1,6,1,1,91.8213675630482,1
C,0.529483682784767,0,1,MORTGAGE,18.3382423381361,credit_card,7.48700078117097,0,1,4,1,1,11,0,1,53.89821807817455,0
C,0.7838638437509103,1,6,RENT,29.00032769907609,home_improvement,3.974399390118607,0,1,2,1,1,13,0,1,2.7130474881107425,0
D,0.9075932247584828,0,7,MORTGAGE,35.964476073804384,credit_card,9.63008367465786,0,0,0,1,1,6,0,0,27.249891341756616,0
D,0.9455928568516856,0,4,MORTGAGE,14.140600283421268,credit_card,13.555336134465968,0,1,0,1,1,10,0,1,4.808834859194699,0
B,0.2529811263985055,0,5,OWN,19.95240094659364,small_business,1.8942786121828787,0,1,0,1,1,7,0,1,21.27228239731934,0
C,0.3425256123954409,1,8,MORTGAGE,30.6082746140579,medical,2.393342909707483,0,1,2,1,1,4,0,1,95.25791389517993,1
A,0.0295951464544891,0,6,MORTGAGE,24.84841128909529,debt_consolidation,12.605153768197765,1,1,2,1,1,10,1,1,9.055616163518057,0
E,0.3490605545475411,0,6,RENT,24.649947747247104,medical,7.238436104591877,0,1,2,1,1,6,0,0,89.05727572620997,1
C,0.7475708308233561,0,5,MORTGAGE,35.15593417836753,debt_consolidation,12.960612762726344,0,1,0,1,1,7,0,1,1.1846619403898195,0
G,0.8999016651440993,0,10,MORTGAGE,35.371400509207,credit_card,5.678530212550243,2,1,1,1,0,12,0,1,70.87646966238276,1
F,0.6981594709793612,0,7,MORTGAGE,17.629876922431887,credit_card,1.3607344992489945,1,1,1,1,1,7,0,1,71.77622927416684,1
E,0.6573476326260688,0,5,MORTGAGE,25.20061933922065,medical,11.662497855123716,1,0,1,1,1,9,0,1,30.77778502314391,0
D,0.3321321662412545,0,9,MORTGAGE,22.32338854229829,debt_consolidation,12.317542344276657,0,1,2,1,1,10,0,1,88.43057778626377,1
A,0.2437694930827274,1,2,RENT,28.453638301392,car,12.09056043842896,1,0,3,0,1,7,0,1,17.827341385109918,0
B,0.5281402346190905,0,1,RENT,30.30960819649253,small_business,8.182154281325895,0,0,4,1,1,7,0,1,42.167916473614255,0
G,0.6279374541928786,0,2,OWN,7.549455204464092,small_business,4.342205027458398,1,0,1,1,1,6,0,1,77.2247496252786,1
D,0.819730352467257,0,3,RENT,14.090234969731467,medical,4.157396192644132,0,1,1,1,0,10,0,0,33.660034017262184,0
D,0.7651599010442547,0,5,OWN,6.669170673610841,credit_card,3.0465356385424025,0,1,1,1,1,11,0,1,54.977169454776096,0
C,0.2591408621732654,0,4,MORTGAGE,27.811489874556905,home_improvement,12.237109613407435,1,0,0,1,1,8,1,1,1.007803351158032,1
E,0.4408292767489764,1,1,RENT,18.060677203614414,medical,2.7170383463141023,1,1,1,1,1,4,0,1,30.147677455052047,1
B,0.4254934340884915,0,4,MORTGAGE,16.421917015273397,medical,7.676921538707958,0,1,0,0,1,9,0,1,8.048558037911013,0
C,0.242419856295485,0,2,MORTGAGE,38.59860173885109,small_business,9.469362344898382,0,0,1,0,0,11,0,1,42.56661356194987,1
G,0.1642169582273459,1,6,OWN,28.504378147279155,car,4.153238835295644,1,0,1,1,1,3,0,1,64.94343961471102,1
D,0.3529140247920416,0,6,MORTGAGE,34.14798953963773,home_improvement,1.782477121503987,0,1,1,1,1,5,1,1,51.80181955731321,0
E,0.1015745442353813,1,9,OWN,35.895094633012,car,8.754594447790161,0,0,5,1,1,7,0,1,2.627915403896908,0
C,0.7708612329203246,0,6,MORTGAGE,27.01859610353937,credit_card,7.101913903837223,0,1,5,1,1,6,0,1,71.81183913572836,0
